place_id,place_name,place_description,category,city,price,rating,combined
11,Curug Luhur Waterfall,"Sekitaran Bandung banyak sekali curug dari yang kekinian, terlupakan, kurang terdengar sampai baru dengar. Salah satunya adalah curug Luhur Cibodas di daerah Maribaya Lembang di sekitar area ini ada 3 curug, penduduk lokal menyebutnya curug Cibodas pernah disebut juga curug Keraton .. tapi sekarang lebih dikenal curug Luhur, selain yang ini ada juga curug Lalay yang tidak terlalu tinggi dan satu lagi curug yang paling tinggi diarea sini yaitu curug Luhur .. posisinya lebih kedalam lagi sekitar 3 km dari pos masuk, masih jarang orang yang kesana",Cagar Alam,Bandung,"Rp45,000",4.2,cagar alam sekitaran bandung banyak sekali curug dari yang kekinian terlupakan kurang terdengar sampai baru dengar salah satunya adalah curug luhur cibodas di daerah maribaya lembang di sekitar area ini ada 3 curug penduduk lokal menyebutnya curug cibodas pernah disebut juga curug keraton  tapi sekarang lebih dikenal curug luhur selain yang ini ada juga curug lalay yang tidak terlalu tinggi dan satu lagi curug yang paling tinggi diarea sini yaitu curug luhur  posisinya lebih kedalam lagi sekitar 3 km dari pos masuk masih jarang orang yang kesana bandung
12,Curug Malela,"Curug Malela adalah air terjun yang terletak di Kabupaten Bogor, Jawa Barat, Indonesia. Air terjun ini menawarkan pemandangan yang memukau dengan air yang jatuh dari ketinggian dan ditambah dengan latar belakang hutan yang hijau. Suasana sejuk dan alami membuat Curug Malela menjadi tempat yang cocok untuk bersantai dan menikmati keindahan alam. Pengunjung dapat berjalan menyusuri aliran sungai menuju air terjun dan merasakan keindahan alam yang menyejukkan.",Cagar Alam,Bandung,"Rp5,500",4.5,cagar alam curug malela adalah air terjun yang terletak di kabupaten bogor jawa barat indonesia air terjun ini menawarkan pemandangan yang memukau dengan air yang jatuh dari ketinggian dan ditambah dengan latar belakang hutan yang hijau suasana sejuk dan alami membuat curug malela menjadi tempat yang cocok untuk bersantai dan menikmati keindahan alam pengunjung dapat berjalan menyusuri aliran sungai menuju air terjun dan merasakan keindahan alam yang menyejukkan bandung
13,Curug Tilu Leuwi Opat,"Curug Tilu Leuwi Opat adalah air terjun yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Air terjun ini menawarkan keindahan alam yang spektakuler dengan tiga tingkatan air terjun yang mengalir mempesona. Pengunjung dapat menikmati pemandangan yang menakjubkan, suara gemuruh air terjun, dan segarnya air yang jatuh. Curug Tilu Leuwi Opat juga dikelilingi oleh hutan hijau yang memperkaya pengalaman alam. Tempat ini merupakan pilihan yang ideal bagi wisatawan yang ingin menikmati keindahan alam dan suasana yang tenang.",Cagar Alam,Bandung,"Rp10,000",4.4,cagar alam curug tilu leuwi opat adalah air terjun yang terletak di kabupaten bandung jawa barat indonesia air terjun ini menawarkan keindahan alam yang spektakuler dengan tiga tingkatan air terjun yang mengalir mempesona pengunjung dapat menikmati pemandangan yang menakjubkan suara gemuruh air terjun dan segarnya air yang jatuh curug tilu leuwi opat juga dikelilingi oleh hutan hijau yang memperkaya pengalaman alam tempat ini merupakan pilihan yang ideal bagi wisatawan yang ingin menikmati keindahan alam dan suasana yang tenang bandung
14,Desa Wisata Kampung Cai Ranca Upas,"Desa ini menawarkan suasana pedesaan yang alami dan keindahan alam yang memukau, dengan pemandangan sawah, perkebunan teh, dan udara segar yang menyejukkan.","Cagar Alam,Desa Wisata",Bandung,"Rp10,000",4.7,cagar alamdesa wisata desa ini menawarkan suasana pedesaan yang alami dan keindahan alam yang memukau dengan pemandangan sawah perkebunan teh dan udara segar yang menyejukkan bandung
15,Dusun Bambu,"Dusun Bambu adalah destinasi wisata keluarga yang terletak di Lembang, Bandung, Indonesia. Tempat ini menawarkan pengalaman yang unik dengan suasana pedesaan, pemandangan pegunungan, dan area hijau yang luas. Pengunjung dapat menikmati berbagai aktivitas seperti naik perahu, berkemah, berkeliling taman bunga, dan menikmati kuliner tradisional. Dusun Bambu juga memiliki area bermain anak, taman bermain air, dan penginapan yang nyaman. Tempat ini cocok untuk rekreasi keluarga dan bersantai sambil menikmati keindahan alam.",Taman Hiburan,Bandung,"Rp20,000",4.5,taman hiburan dusun bambu adalah destinasi wisata keluarga yang terletak di lembang bandung indonesia tempat ini menawarkan pengalaman yang unik dengan suasana pedesaan pemandangan pegunungan dan area hijau yang luas pengunjung dapat menikmati berbagai aktivitas seperti naik perahu berkemah berkeliling taman bunga dan menikmati kuliner tradisional dusun bambu juga memiliki area bermain anak taman bermain air dan penginapan yang nyaman tempat ini cocok untuk rekreasi keluarga dan bersantai sambil menikmati keindahan alam bandung
16,Gua Pawon,"Gua Pawon adalah sebuah gua alami dan situs purbakala yang terletak di Desa Gunung Masigit, Kecamatan Cipatat, Padalarang, Kabupaten Bandung Barat, atau sekitar 25 km arah barat Kota Bandung. Merupakan sebuah tempat yang penting bagi orang Sunda karena di sanalah tempat berkumpulnya sesepuh Sunda yang sekarang menduduki bagian barat pulau Jawa. Di sana pernah ditemukan kerangka manusia purba yang konon adalah nenek moyang orang Sunda (masih diteliti di balai Arkeolog Bandung).","Budaya,Cagar Alam",Bandung,"Rp10,000",4.5,budayacagar alam gua pawon adalah sebuah gua alami dan situs purbakala yang terletak di desa gunung masigit kecamatan cipatat padalarang kabupaten bandung barat atau sekitar 25 km arah barat kota bandung merupakan sebuah tempat yang penting bagi orang sunda karena di sanalah tempat berkumpulnya sesepuh sunda yang sekarang menduduki bagian barat pulau jawa di sana pernah ditemukan kerangka manusia purba yang konon adalah nenek moyang orang sunda masih diteliti di balai arkeolog bandung bandung
17,Gunung Lalakon,"Gunung Lalakon adalah gunung yang terletak di Kabupaten Garut, Jawa Barat, Indonesia. Gunung ini memiliki pemandangan alam yang memukau dengan hutan yang hijau dan udara yang segar. Pendakian ke puncak Gunung Lalakon menawarkan pengalaman petualangan yang menantang dengan jalur yang menanjak. Dari puncaknya, pengunjung dapat menikmati panorama yang memukau termasuk lembah dan gunung-gunung di sekitarnya. Gunung Lalakon cocok untuk para pendaki yang ingin mengeksplorasi keindahan alam dan menikmati kegiatan outdoor.","Cagar Alam,Taman Nasional",Bandung,Gratis,4.8,cagar alamtaman nasional gunung lalakon adalah gunung yang terletak di kabupaten garut jawa barat indonesia gunung ini memiliki pemandangan alam yang memukau dengan hutan yang hijau dan udara yang segar pendakian ke puncak gunung lalakon menawarkan pengalaman petualangan yang menantang dengan jalur yang menanjak dari puncaknya pengunjung dapat menikmati panorama yang memukau termasuk lembah dan gununggunung di sekitarnya gunung lalakon cocok untuk para pendaki yang ingin mengeksplorasi keindahan alam dan menikmati kegiatan outdoor bandung
18,Gunung Manglayang,"Gunung Manglayang adalah gunung yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Dengan ketinggian sekitar 1.806 meter, gunung ini menawarkan pendakian menantang dan pemandangan alam yang memukau. Di Gunung Manglayang, pengunjung dapat menikmati keindahan hutan, air terjun, dan pemandangan Kota Bandung. Gunung Manglayang juga menjadi habitat bagi berbagai flora dan fauna yang melimpah, menjadikannya tempat yang ideal untuk kegiatan pendakian dan petualangan alam.","Cagar Alam,Taman Nasional",Bandung,"Rp7,500",4.5,cagar alamtaman nasional gunung manglayang adalah gunung yang terletak di kabupaten bandung jawa barat indonesia dengan ketinggian sekitar 1806 meter gunung ini menawarkan pendakian menantang dan pemandangan alam yang memukau di gunung manglayang pengunjung dapat menikmati keindahan hutan air terjun dan pemandangan kota bandung gunung manglayang juga menjadi habitat bagi berbagai flora dan fauna yang melimpah menjadikannya tempat yang ideal untuk kegiatan pendakian dan petualangan alam bandung
19,Happyfarm Ciwidey,"Objek wisata alam dan edukasi tengah banyak menjamur akhir-akhir ini. Selain De Ranch dan Farmhouse Lembang, ada juga Happy Farm Ciwidey di Bandung. Objek wisata ini masih terbilang baru, karena baru bulan Juni 2019 ini berdiri. Konsepnya hampir sama, wisata alam dan peternakan dengan unsur edukasi. Sangat cocok menjadi tujuan wisata keluarga, terutama untuk anak-anak. Dan semakin seru karena bermain di area outdoor dengan udara sejuk.",Cagar Alam,Bandung,"Rp15,000",4.3,cagar alam objek wisata alam dan edukasi tengah banyak menjamur akhirakhir ini selain de ranch dan farmhouse lembang ada juga happy farm ciwidey di bandung objek wisata ini masih terbilang baru karena baru bulan juni 2019 ini berdiri konsepnya hampir sama wisata alam dan peternakan dengan unsur edukasi sangat cocok menjadi tujuan wisata keluarga terutama untuk anakanak dan semakin seru karena bermain di area outdoor dengan udara sejuk bandung
20,Jendela Alam ,"Tidak hanya menikmati alam sekitar yang masih sejuk dan hijau, anak anda juga bisa mengikuti berbagai kegiatan edukasi yang bermanfaat. Berbagai kegiatan edukasi disediakan dan dirancang sedemikian rupa sehingga menarik buat keluarga. Kegiatan edukasi yang tersedia cocok untuk anak mulai dari usia TK sampai dengan SMA.",Taman Hiburan,Bandung,"Rp20,000",4.4,taman hiburan tidak hanya menikmati alam sekitar yang masih sejuk dan hijau anak anda juga bisa mengikuti berbagai kegiatan edukasi yang bermanfaat berbagai kegiatan edukasi disediakan dan dirancang sedemikian rupa sehingga menarik buat keluarga kegiatan edukasi yang tersedia cocok untuk anak mulai dari usia tk sampai dengan sma bandung
21,Kawah Putih,"Kawah Putih adalah sebuah tempat wisata di Jawa Barat yang terletak di Desa Alam Endah, Kecamatan Rancabali, Kabupaten Bandung Jawa Barat yang terletak di kaki Gunung Patuha. Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Danau Kawah Putih sendiri berada pada ketinggian 2194 m tapi luas total Danau Kawah Putih 25 ha yang dipakai wisata 5 ha dan lokasi kawah sendiri 3 ha.","Cagar Alam,Taman Nasional",Bandung,"Rp81,000",4.5,cagar alamtaman nasional kawah putih adalah sebuah tempat wisata di jawa barat yang terletak di desa alam endah kecamatan rancabali kabupaten bandung jawa barat yang terletak di kaki gunung patuha kawah putih merupakan sebuah danau yang terbentuk dari letusan gunung patuha tanah yang bercampur belerang di sekitar kawah ini berwarna putih lalu warna air yang berada di kawah ini berwarna putih kehijauan yang unik dari kawah ini adalah airnya kadang berubah warna danau kawah putih sendiri berada pada ketinggian 2194 m tapi luas total danau kawah putih 25 ha yang dipakai wisata 5 ha dan lokasi kawah sendiri 3 ha bandung
22,Kawah Rengganis Cibuni,"Kawah Rengganis Cibuni adalah kawah aktif yang terletak di Garut, Jawa Barat, Indonesia. Kawah ini dikelilingi oleh perkebunan teh yang hijau. Pengunjung dapat menyaksikan fenomena geologi seperti uap belerang dan air panas yang mengalir di sekitar kawah. Kawah Rengganis Cibuni menawarkan pemandangan alam yang eksotis dan pengalaman mendebarkan bagi para pengunjung yang tertarik dengan keindahan alam dan geologi.","Cagar Alam,Taman Nasional",Bandung,"Rp5,000",4.4,cagar alamtaman nasional kawah rengganis cibuni adalah kawah aktif yang terletak di garut jawa barat indonesia kawah ini dikelilingi oleh perkebunan teh yang hijau pengunjung dapat menyaksikan fenomena geologi seperti uap belerang dan air panas yang mengalir di sekitar kawah kawah rengganis cibuni menawarkan pemandangan alam yang eksotis dan pengalaman mendebarkan bagi para pengunjung yang tertarik dengan keindahan alam dan geologi bandung
23,Kebun Binatang Bandung,"Kebun Binatang Bandung merupakan salah satu objek wisata alam flora dan fauna di Kota Bandung, Jawa Barat, Indonesia. Kebun Binatang Bandung terletak berdampingan dengan kampus Institut Teknologi Bandung dan Sungai Cikapundung.",Cagar Alam,Bandung,"Rp20,000",4.1,cagar alam kebun binatang bandung merupakan salah satu objek wisata alam flora dan fauna di kota bandung jawa barat indonesia kebun binatang bandung terletak berdampingan dengan kampus institut teknologi bandung dan sungai cikapundung bandung
24,Kebun Tanaman Obat Sari Alam,"Kebun Tanaman Obat Sari Alam lebih terkenal dengan sebutan wisata pengobatan herbal, karena disana terdapat banyak sekali tanaman yang dijadikan sebagai pengobatan alternative. Kebun Tanaman Obat Sari Alam lebih dikenal oleh orang Bandung dengan sebutan KTO Sari Alam. Lokasi: Jl. Raya Ciwidey bandung km 26 no 8 rt 1 rw 2 kampung Andir, Cukanggenteng, Kec. Pasirjambu, kab Bandung, Jawa Barat 40972",Cagar Alam,Bandung,Gratis,4.8,cagar alam kebun tanaman obat sari alam lebih terkenal dengan sebutan wisata pengobatan herbal karena disana terdapat banyak sekali tanaman yang dijadikan sebagai pengobatan alternative kebun tanaman obat sari alam lebih dikenal oleh orang bandung dengan sebutan kto sari alam lokasi jl raya ciwidey bandung km 26 no 8 rt 1 rw 2 kampung andir cukanggenteng kec pasirjambu kab bandung jawa barat 40972 bandung
25,Orchid Forest Cikole,"Orchid Forest Cikole Lembang sudah berdiri sejak Agustus tahun 2017. Tempat ini merupakan taman anggrek terluas di Indonesia. Berada di tengah kawasan hutan lindung dan terbentang seluas 12 hektar. Setidaknya terdapat 157 jenis bunga anggrek beraneka macam dikembangkan di sini. Orchid Forest Cikole Bandung memfokuskan diri untuk memperkenalkan dan membudidayakan berbagai tanaman anggrek. Menggunakan metode lokal maupun internasional. Spesies Anggreknya tidak hanya berasal dari Indonesia yang memang merupakan negara kedua terbanyak memiliki varian anggrek. Tanaman anggrek di Orchid Forest juga berasal dari negara lain, seperti Venezuela, Argentina, Filipina, Peru, dan Amerika serikat.","Cagar Alam,Taman Hiburan",Bandung,"Rp50,000",4.6,cagar alamtaman hiburan orchid forest cikole lembang sudah berdiri sejak agustus tahun 2017 tempat ini merupakan taman anggrek terluas di indonesia berada di tengah kawasan hutan lindung dan terbentang seluas 12 hektar setidaknya terdapat 157 jenis bunga anggrek beraneka macam dikembangkan di sini orchid forest cikole bandung memfokuskan diri untuk memperkenalkan dan membudidayakan berbagai tanaman anggrek menggunakan metode lokal maupun internasional spesies anggreknya tidak hanya berasal dari indonesia yang memang merupakan negara kedua terbanyak memiliki varian anggrek tanaman anggrek di orchid forest juga berasal dari negara lain seperti venezuela argentina filipina peru dan amerika serikat bandung
26,Perkebunan Teh Malabar,"Salah satu perkebunan teh yang cukup terkenal di Jawa Barat adalah perkebunan teh Malabar yang dibangun pada masa penjajahan kolonial Belanda tahun 1896. Perkebunan ini masuk dalam wilayah kecamatan Pangalengan Kabupaten Bandung, kira-kira 45 km dari pusat Kota Bandung. Jika anda berkunjung ke daerah ini, maka mata akan akan dimanjakan dengan aktivitas penduduk setempat yang mayoritas penduduknya menjadi pemetik teh dan memelihara sapi perah. Jadi jangan heran apabila anda memasuki daerah ini, anda akan melihat penduduk yang sedang memetik di kebun teh dan memelihara sapi. Namun, untuk mencapai perkebunan Malabar yang ada di Pangalengan ini, anda harus menempuh perjalanan yang panjang dan berkelok-kelok membuat anda harus berhati-hati.",Cagar Alam,Bandung,"Rp10,000",5.0,cagar alam salah satu perkebunan teh yang cukup terkenal di jawa barat adalah perkebunan teh malabar yang dibangun pada masa penjajahan kolonial belanda tahun 1896 perkebunan ini masuk dalam wilayah kecamatan pangalengan kabupaten bandung kirakira 45 km dari pusat kota bandung jika anda berkunjung ke daerah ini maka mata akan akan dimanjakan dengan aktivitas penduduk setempat yang mayoritas penduduknya menjadi pemetik teh dan memelihara sapi perah jadi jangan heran apabila anda memasuki daerah ini anda akan melihat penduduk yang sedang memetik di kebun teh dan memelihara sapi namun untuk mencapai perkebunan malabar yang ada di pangalengan ini anda harus menempuh perjalanan yang panjang dan berkelokkelok membuat anda harus berhatihati bandung
27,Sanghyang Heuleut,"Danau yang satu ini memiliki air jernih bernuansa kehijauan yang berpadu indah dengan tebing batu berukuran besar di sekelilingnya. Di sela-sela bebatuan, kamu bisa menemukan pepohonan dan rerumputan hijau yang menyegarkan mata. Bebatuannya yang tinggi itu bahkan kerap digunakan sebagai tempat para traveler untuk meloncat indah menuju danau purba tersebut. Danau Sanghyang Heuleut memiliki kedalaman sekitar tiga meter. Jadi, sebelum kamu masuk ke dalam danau, pastikan kamu bisa berenang agar tidak tenggelam, atau setidaknya telah memiliki perlengkapan seperti jaket pelampung.","Budaya,Cagar Alam",Bandung,"Rp15,000",4.4,budayacagar alam danau yang satu ini memiliki air jernih bernuansa kehijauan yang berpadu indah dengan tebing batu berukuran besar di sekelilingnya di selasela bebatuan kamu bisa menemukan pepohonan dan rerumputan hijau yang menyegarkan mata bebatuannya yang tinggi itu bahkan kerap digunakan sebagai tempat para traveler untuk meloncat indah menuju danau purba tersebut danau sanghyang heuleut memiliki kedalaman sekitar tiga meter jadi sebelum kamu masuk ke dalam danau pastikan kamu bisa berenang agar tidak tenggelam atau setidaknya telah memiliki perlengkapan seperti jaket pelampung bandung
28,Saung Angklung Mang Udjo,"Saung Angklung Mang Udjo adalah tempat wisata budaya yang terletak di Bandung, Jawa Barat, Indonesia. Tempat ini memperkenalkan seni dan budaya Sunda, terutama alat musik tradisional angklung. Pengunjung dapat menyaksikan pertunjukan angklung yang menarik, berpartisipasi dalam belajar memainkan angklung, dan menikmati tarian dan musik tradisional. Saung Angklung Mang Udjo merupakan destinasi yang cocok untuk menikmati keindahan seni dan budaya tradisional Sunda dalam suasana yang ramah dan interaktif.",Budaya,Bandung,"Rp75,000",4.7,budaya saung angklung mang udjo adalah tempat wisata budaya yang terletak di bandung jawa barat indonesia tempat ini memperkenalkan seni dan budaya sunda terutama alat musik tradisional angklung pengunjung dapat menyaksikan pertunjukan angklung yang menarik berpartisipasi dalam belajar memainkan angklung dan menikmati tarian dan musik tradisional saung angklung mang udjo merupakan destinasi yang cocok untuk menikmati keindahan seni dan budaya tradisional sunda dalam suasana yang ramah dan interaktif bandung
